#,Segmentname_FV2404,Segmentgruppe_FV2404,Segment_FV2404,Datenelement_FV2404,Segment ID_FV2404,Code_FV2404,Beschreibung_FV2404,Bedingungsausdruck_FV2404,Bedingung_FV2404,Änderung,Segmentname_FV2410,Segmentgruppe_FV2410,Segment_FV2410,Datenelement_FV2410,Segment ID_FV2410,Code_FV2410,Beschreibung_FV2410,Bedingungsausdruck_FV2410,Bedingung_FV2410
64,Marktlokation,SG5,LOC,3225,00051,,ID der Marktlokation,X [950],[950] Format: Marktlokations-ID,,Marktlokation,SG5,LOC,3225,00051,,ID der Marktlokation,X [950],[950] Format: Marktlokations-ID
65,Marktlokation,SG5,LOC,5479,00051,Z01,Lokationszuordnung unverändert,X,,,Marktlokation,SG5,LOC,5479,00051,Z01,Lokationszuordnung unverändert,X,
66,Marktlokation,SG5,LOC,5479,,Z02,Lokationszuordnung beginnt,X,,,Marktlokation,SG5,LOC,5479,,Z02,Lokationszuordnung beginnt,X,
67,Marktlokation,SG5,LOC,5479,,Z03,Lokationszuordnung endet,X,,,Marktlokation,SG5,LOC,5479,,Z03,Lokationszuordnung endet,X,
68,Technische Ressource,SG5,,,,,,Soll [46] ∧ [679] ∧ [694] ∧ [698],"[46] Wenn ID für Objekt vergeben wurde
[679] Hinweis: Es sind alle Technischen Ressourcen, zu nennen, die aktuell und / oder zukünftig dem gleichen Lokationsbündel angehören wie die prozessual behandelte Messlokation. Zudem ist über das DE5479 mit der Angabe des entsprechenden Codes der Zustand der Technischen Ressource zu beschreiben
[694] Hinweis: Wenn in einer Marktlokation eine ID für eine Technischen Ressource vergeben wird, müssen für alle ggf. weitere Technische Ressourcen in der Marktlokation ID vergeben werden. Hintergrund: MSB und LF benötigen einen vollständigen Überblick auf die Art und Nutzung der Technischen Ressourcen in einer Marktlokation für die Plausibilisierung, Ersatzwertbildung, Produktauswahl bzw. Prognose
[698] Hinweis: Für eine erzeugende Marktlokation muss für jede Technische Ressource eine ID der Technischen Ressourcen vergeben werden. Dies ist notwendig um die Nennleistung der Technische Ressource bekannt zu geben, da auf Basis diese Information die POG des MSB einer erzeugenden Marktlokation ermittelt wird",,Technische Ressource,SG5,,,,,,Soll [46] ∧ [679] ∧ [694] ∧ [698],"[46] Wenn ID für Objekt vergeben wurde
[679] Hinweis: Es sind alle Technischen Ressourcen, zu nennen, die aktuell und / oder zukünftig dem gleichen Lokationsbündel angehören wie die prozessual behandelte Messlokation. Zudem ist über das DE5479 mit der Angabe des entsprechenden Codes der Zustand der Technischen Ressource zu beschreiben
[694] Hinweis: Wenn in einer Marktlokation eine ID für eine Technischen Ressource vergeben wird, müssen für alle ggf. weitere Technische Ressourcen in der Marktlokation ID vergeben werden. Hintergrund: MSB und LF benötigen einen vollständigen Überblick auf die Art und Nutzung der Technischen Ressourcen in einer Marktlokation für die Plausibilisierung, Ersatzwertbildung, Produktauswahl bzw. Prognose
[698] Hinweis: Für eine erzeugende Marktlokation muss für jede Technische Ressource eine ID der Technischen Ressourcen vergeben werden. Dies ist notwendig um die Nennleistung der Technische Ressource bekannt zu geben, da auf Basis diese Information die POG des MSB einer erzeugenden Marktlokation ermittelt wird"
69,Technische Ressource,SG5,LOC,,00052,,,Muss,,,Technische Ressource,SG5,LOC,,00052,,,Muss,
70,Technische Ressource,SG5,LOC,3227,00052,Z20,Technische Ressource,X,,,Technische Ressource,SG5,LOC,3227,00052,Z20,Technische Ressource,X,
71,Technische Ressource,SG5,LOC,3225,00052,,ID der Technischen Ressource,X [922],[922] Format: TR-ID,,Technische Ressource,SG5,LOC,3225,00052,,ID der Technischen Ressource,X [922],[922] Format: TR-ID
72,Technische Ressource,SG5,LOC,5479,00052,Z01,Lokationszuordnung unverändert,X,,,Technische Ressource,SG5,LOC,5479,00052,Z01,Lokationszuordnung unverändert,X,
73,Technische Ressource,SG5,LOC,5479,,Z02,Lokationszuordnung beginnt,X,,,Technische Ressource,SG5,LOC,5479,,Z02,Lokationszuordnung beginnt,X,
74,Technische Ressource,SG5,LOC,5479,,Z03,Lokationszuordnung endet,X,,,Technische Ressource,SG5,LOC,5479,,Z03,Lokationszuordnung endet,X,
75,Steuerbare Ressource,SG5,,,,,,Soll [46] ∧ [680],"[46] Wenn ID für Objekt vergeben wurde
[680] Hinweis: Es sind alle Steuerbaren Ressourcen, zu nennen, die aktuell und / oder zukünftig dem gleichen Lokationsbündel angehören wie die prozessual behandelte Messlokation. Zudem ist über das DE5479 mit der Angabe des entsprechenden Codes der Zustand der Steuerbaren Ressource zu beschreiben",,Steuerbare Ressource,SG5,,,,,,Soll [46] ∧ [680],"[46] Wenn ID für Objekt vergeben wurde
[680] Hinweis: Es sind alle Steuerbaren Ressourcen, zu nennen, die aktuell und / oder zukünftig dem gleichen Lokationsbündel angehören wie die prozessual behandelte Messlokation. Zudem ist über das DE5479 mit der Angabe des entsprechenden Codes der Zustand der Steuerbaren Ressource zu beschreiben"
76,Steuerbare Ressource,SG5,LOC,,00053,,,Muss,,,Steuerbare Ressource,SG5,LOC,,00053,,,Muss,
77,Steuerbare Ressource,SG5,LOC,3227,00053,Z19,Steuerbare Ressource,X,,,Steuerbare Ressource,SG5,LOC,3227,00053,Z19,Steuerbare Ressource,X,
78,Steuerbare Ressource,SG5,LOC,3225,00053,,ID der Steuerbaren Ressource,X [961],[961] Format: SR-ID,,Steuerbare Ressource,SG5,LOC,3225,00053,,ID der Steuerbaren Ressource,X [961],[961] Format: SR-ID
79,Steuerbare Ressource,SG5,LOC,5479,00053,Z01,Lokationszuordnung unverändert,X,,,Steuerbare Ressource,SG5,LOC,5479,00053,Z01,Lokationszuordnung unverändert,X,
80,Steuerbare Ressource,SG5,LOC,5479,,Z02,Lokationszuordnung beginnt,X,,,Steuerbare Ressource,SG5,LOC,5479,,Z02,Lokationszuordnung beginnt,X,
81,Steuerbare Ressource,SG5,LOC,5479,,Z03,Lokationszuordnung endet,X,,,Steuerbare Ressource,SG5,LOC,5479,,Z03,Lokationszuordnung endet,X,
82,Tranche,SG5,,,,,,Soll [166] ∧ [681],"[166] Wenn vorhanden
[681] Hinweis: Es sind alle Tranchen, zu nennen, die aktuell und / oder zukünftig dem gleichen Lokationsbündel angehören wie die prozessual behandelte Messlokation. Zudem ist über das DE5479 mit der Angabe des entsprechenden Codes der Zustand der Tranche zu beschreiben",,Tranche,SG5,,,,,,Soll [166] ∧ [681],"[166] Wenn vorhanden
[681] Hinweis: Es sind alle Tranchen, zu nennen, die aktuell und / oder zukünftig dem gleichen Lokationsbündel angehören wie die prozessual behandelte Messlokation. Zudem ist über das DE5479 mit der Angabe des entsprechenden Codes der Zustand der Tranche zu beschreiben"
83,Tranche,SG5,LOC,,00054,,,Muss,,,Tranche,SG5,LOC,,00054,,,Muss,
84,Tranche,SG5,LOC,3227,00054,Z21,Tranche,X,,,Tranche,SG5,LOC,3227,00054,Z21,Tranche,X,
85,Tranche,SG5,LOC,3225,00054,,ID der Tranche,X [950],[950] Format: Marktlokations-ID,,Tranche,SG5,LOC,3225,00054,,ID der Tranche,X [950],[950] Format: Marktlokations-ID
86,Tranche,SG5,LOC,5479,00054,Z01,Lokationszuordnung unverändert,X,,,Tranche,SG5,LOC,5479,00054,Z01,Lokationszuordnung unverändert,X,
87,Tranche,SG5,LOC,5479,,Z02,Lokationszuordnung beginnt,X,,,Tranche,SG5,LOC,5479,,Z02,Lokationszuordnung beginnt,X,
88,Tranche,SG5,LOC,5479,,Z03,Lokationszuordnung endet,X,,,Tranche,SG5,LOC,5479,,Z03,Lokationszuordnung endet,X,
