Segmentname_FV2310,Segmentgruppe_FV2310,Segment_FV2310,Datenelement_FV2310,Segment ID_FV2310,Code_FV2310,Qualifier_FV2310,Beschreibung_FV2310,Bedingungsausdruck_FV2310,Bedingung_FV2310,Unnamed: 0_FV2310,Änderung,changed_entries,Segmentname_FV2404,Segmentgruppe_FV2404,Segment_FV2404,Datenelement_FV2404,Segment ID_FV2404,Code_FV2404,Qualifier_FV2404,Beschreibung_FV2404,Bedingungsausdruck_FV2404,Bedingung_FV2404,Unnamed: 0_FV2404
Erforderliches Messprodukt der Messlokation,SG27,PIA,,00026,,,,Muss,,74,,,Erforderliches Messprodukt der Messlokation,SG27,PIA,,00026,,,,Muss,,74
Erforderliches Messprodukt der Messlokation,SG27,PIA,4347,00026,,,,5,,75,,,Erforderliches Messprodukt der Messlokation,SG27,PIA,4347,00026,,,,5,,75
Erforderliches Messprodukt der Messlokation,SG27,PIA,7140,00026,,,Messprodukt-Code,X [14],"[14] Es sind nur die Messprodukt-Codes erlaubt, die in der Codeliste der Konfigurationen im Kapitel 4.6 ""Codelisten der Messprodukte Strom für ESA"", in der Spalte ""Ebene"" das Objekt ""Messlokation"" angegeben ist.",76,,,Erforderliches Messprodukt der Messlokation,SG27,PIA,7140,00026,,,Messprodukt-Code,X [14],"[14] Es sind nur die Messprodukt-Codes erlaubt, die in der Codeliste der Konfigurationen im Kapitel 4.6 ""Codelisten der Messprodukte Strom für ESA"", in der Spalte ""Ebene"" das Objekt ""Messlokation"" angegeben ist.",76
Erforderliches Messprodukt der Messlokation,SG27,PIA,7143,00026,Z11,,Messprodukt,X,,77,,,Erforderliches Messprodukt der Messlokation,SG27,PIA,7143,00026,Z11,,Messprodukt,X,,77
Erforderliches Messprodukt der Netzlokation,SG27,,,,,,,Muss [2003] ∧ [7] ∧ [8],"[7] Wenn in derselben Nachricht eine SG27 mit Z16 (Erforderliches Messprodukt der Tranche) in LIN DE1229 nicht vorhanden
[8] Wenn in derselben Nachricht eine SG27 mit Z27 (Erforderliches Messprodukt der Marktlokation) in LIN DE1229 nicht vorhanden
[2003] Für 11-stellige ID im SG11 LOC+172 (Meldepunkt) DE3225 genau einmal anzugeben",78,,,Erforderliches Messprodukt der Netzlokation,SG27,,,,,,,Muss [2003] ∧ [7] ∧ [8],"[7] Wenn in derselben Nachricht eine SG27 mit Z16 (Erforderliches Messprodukt der Tranche) in LIN DE1229 nicht vorhanden
[8] Wenn in derselben Nachricht eine SG27 mit Z27 (Erforderliches Messprodukt der Marktlokation) in LIN DE1229 nicht vorhanden
[2003] Für 11-stellige ID im SG11 LOC+172 (Meldepunkt) DE3225 genau einmal anzugeben",78
Erforderliches Messprodukt der Netzlokation,SG27,LIN,,00027,,,,Muss,,79,,,Erforderliches Messprodukt der Netzlokation,SG27,LIN,,00027,,,,Muss,,79
Erforderliches Messprodukt der Netzlokation,SG27,LIN,1082,00027,,,Positionsnummer,X [903],[903] Format: Möglicher Wert: 1,80,,,Erforderliches Messprodukt der Netzlokation,SG27,LIN,1082,00027,,,Positionsnummer,X [903],[903] Format: Möglicher Wert: 1,80
Erforderliches Messprodukt der Netzlokation,SG27,LIN,1229,00027,der Netzlokation,,,Z53,,81,,,Erforderliches Messprodukt der Netzlokation,SG27,LIN,1229,00027,der Netzlokation,,,Z53,,81
Erforderliches Messprodukt der Netzlokation,SG27,PIA,,00028,,,,Muss,,82,,,Erforderliches Messprodukt der Netzlokation,SG27,PIA,,00028,,,,Muss,,82
Erforderliches Messprodukt der Netzlokation,SG27,PIA,4347,00028,,,,5,,83,,,Erforderliches Messprodukt der Netzlokation,SG27,PIA,4347,00028,,,,5,,83
Erforderliches Messprodukt der Netzlokation,SG27,PIA,7140,00028,,,Messprodukt-Code,X [13],"[13] Es sind nur die Messprodukt-Codes erlaubt, die in der Codeliste der Konfigurationen im Kapitel 4.6 ""Codelisten der Messprodukte Strom für ESA"", in der Spalte ""Ebene"" das Objekt ""Netzlokation"" angegeben ist.",84,,,Erforderliches Messprodukt der Netzlokation,SG27,PIA,7140,00028,,,Messprodukt-Code,X [13],"[13] Es sind nur die Messprodukt-Codes erlaubt, die in der Codeliste der Konfigurationen im Kapitel 4.6 ""Codelisten der Messprodukte Strom für ESA"", in der Spalte ""Ebene"" das Objekt ""Netzlokation"" angegeben ist.",84
Erforderliches Messprodukt der Netzlokation,SG27,PIA,7143,00028,Z11,,Messprodukt,X,,85,,,Erforderliches Messprodukt der Netzlokation,SG27,PIA,7143,00028,Z11,,Messprodukt,X,,85
Abschnitts-Kontrollsegment,,UNS,,00049,,,,Muss,,86,,,Abschnitts-Kontrollsegment,,UNS,,00049,,,,Muss,,86
Abschnitts-Kontrollsegment,,UNS,0081,00049,,,,S,,87,,,Abschnitts-Kontrollsegment,,UNS,0081,00049,,,,S,,87
Nachrichten-Endesegment,,UNT,,00050,,,,Muss,,88,,,Nachrichten-Endesegment,,UNT,,00050,,,,Muss,,88
Nachrichten-Endesegment,,UNT,0074,00050,,,Anzahl der Segmente in einer Nachricht,X,,89,,,Nachrichten-Endesegment,,UNT,0074,00050,,,Anzahl der Segmente in einer Nachricht,X,,89
Nachrichten-Endesegment,,UNT,0062,00050,,,Nachrichten-Referenznummer,X,,90,,,Nachrichten-Endesegment,,UNT,0062,00050,,,Nachrichten-Referenznummer,X,,90
