#,Segmentname_FV2404,Segmentgruppe_FV2404,Segment_FV2404,Datenelement_FV2404,Segment ID_FV2404,Code_FV2404,Beschreibung_FV2404,Bedingungsausdruck_FV2404,Bedingung_FV2404,Änderung,Segmentname_FV2410,Segmentgruppe_FV2410,Segment_FV2410,Datenelement_FV2410,Segment ID_FV2410,Code_FV2410,Beschreibung_FV2410,Bedingungsausdruck_FV2410,Bedingung_FV2410
98,Erforderliches Messprodukt der Tranche,SG29,PIA,7140,00075,,Messprodukt-Code,X [96],"[96] Messprodukt-Code aus dem Kapitel 2.2 ""Standard- Messprodukte der Tranche"" der Codeliste der Konfigurationen",,Erforderliches Messprodukt der Tranche,SG29,PIA,7140,00075,,Messprodukt-Code,X [96],"[96] Messprodukt-Code aus dem Kapitel 2.2 ""Standard- Messprodukte der Tranche"" der Codeliste der Konfigurationen"
99,Erforderliches Messprodukt der Tranche,SG29,PIA,7143,00075,Z11,Messprodukt,X,,,Erforderliches Messprodukt der Tranche,SG29,PIA,7143,00075,Z11,Messprodukt,X,
100,Messprodukt für Netzbetreiber relevant,SG30,,,,,,Muss,,,Messprodukt für Netzbetreiber relevant,SG30,,,,,,Muss,
101,Messprodukt für Netzbetreiber relevant,SG30,CCI,,00076,,,Muss,,,Messprodukt für Netzbetreiber relevant,SG30,CCI,,00076,,,Muss,
102,Messprodukt für Netzbetreiber relevant,SG30,CCI,7037,00076,ZA8,NB,X,,,Messprodukt für Netzbetreiber relevant,SG30,CCI,7037,00076,ZA8,NB,X,
103,Verwendungszweck der Werte,SG30,CAV,,00077,,,Muss,,,Verwendungszweck der Werte,SG30,CAV,,00077,,,Muss,
104,Verwendungszweck der Werte,SG30,CAV,7111,00077,Z85,Bilanzkreisabrechnung,X [1P0..1],,,Verwendungszweck der Werte,SG30,CAV,7111,00077,Z85,Bilanzkreisabrechnung,X [1P0..1],
105,Verwendungszweck der Werte,SG30,CAV,7111,,Z92,Übermittlung an das HKNR,X [1P1..1],,,Verwendungszweck der Werte,SG30,CAV,7111,,Z92,Übermittlung an das HKNR,X [1P1..1],
106,Messprodukt für Lieferant relevant,SG30,,,,,,Muss,,,Messprodukt für Lieferant relevant,SG30,,,,,,Muss,
107,Messprodukt für Lieferant relevant,SG30,CCI,,00078,,,Muss,,,Messprodukt für Lieferant relevant,SG30,CCI,,00078,,,Muss,
108,Messprodukt für Lieferant relevant,SG30,CCI,7037,00078,ZA7,LF,X,,,Messprodukt für Lieferant relevant,SG30,CCI,7037,00078,ZA7,LF,X,
109,Verwendungszweck der Werte,SG30,CAV,,00079,,,Muss,,,Verwendungszweck der Werte,SG30,CAV,,00079,,,Muss,
110,Verwendungszweck der Werte,SG30,CAV,7111,00079,Z47,Endkundenabrechnung,X [1P1..1],,,Verwendungszweck der Werte,SG30,CAV,7111,00079,Z47,Endkundenabrechnung,X [1P1..1],
111,Verwendungszweck der Werte,SG30,CAV,7111,,Z85,Bilanzkreisabrechnung,X [1P1..1],,,Verwendungszweck der Werte,SG30,CAV,7111,,Z85,Bilanzkreisabrechnung,X [1P1..1],
112,Messprodukt für Übertragungsnetzbetreiber relevant,SG30,,,,,,Muss,,,Messprodukt für Übertragungsnetzbetreiber relevant,SG30,,,,,,Muss,
113,Messprodukt für Übertragungsnetzbetreiber relevant,SG30,CCI,,00080,,,Muss,,,Messprodukt für Übertragungsnetzbetreiber relevant,SG30,CCI,,00080,,,Muss,
114,Messprodukt für Übertragungsnetzbetreiber relevant,SG30,CCI,7037,00080,ZA9,ÜNB,X,,,Messprodukt für Übertragungsnetzbetreiber relevant,SG30,CCI,7037,00080,ZA9,ÜNB,X,
115,Verwendungszweck der Werte,SG30,CAV,,00081,,,Muss,,,Verwendungszweck der Werte,SG30,CAV,,00081,,,Muss,
116,Verwendungszweck der Werte,SG30,CAV,7111,00081,Z85,Bilanzkreisabrechnung,X [1P0..1],,,Verwendungszweck der Werte,SG30,CAV,7111,00081,Z85,Bilanzkreisabrechnung,X [1P0..1],
117,Verwendungszweck der Werte,SG30,CAV,7111,,ZB5,Zur Ermittlung der Ausgeglichenheit von Bilanzkreisen,X [1P1..1],,,Verwendungszweck der Werte,SG30,CAV,7111,,ZB5,Zur Ermittlung der Ausgeglichenheit von Bilanzkreisen,X [1P1..1],
118,Referenz auf ID der Tranche,SG34,,,,,,Muss,,,Referenz auf ID der Tranche,SG34,,,,,,Muss,
119,Referenz auf ID der Tranche,SG34,RFF,,00082,,,Muss,,,Referenz auf ID der Tranche,SG34,RFF,,00082,,,Muss,
120,Referenz auf ID der Tranche,SG34,RFF,1153,00082,Z20,Tranche,X,,,Referenz auf ID der Tranche,SG34,RFF,1153,00082,Z20,Tranche,X,
121,Referenz auf ID der Tranche,SG34,RFF,1154,00082,,ID der Tranche,X [950],[950] Format: Marktlokations-ID,,Referenz auf ID der Tranche,SG34,RFF,1154,00082,,ID der Tranche,X [950],[950] Format: Marktlokations-ID
