Segmentname_FV2310,Segmentgruppe_FV2310,Segment_FV2310,Datenelement_FV2310,Segment ID_FV2310,Code_FV2310,Qualifier_FV2310,Beschreibung_FV2310,Bedingungsausdruck_FV2310,Bedingung_FV2310,Unnamed: 0_FV2310,Änderung,changed_entries,Segmentname_FV2404,Segmentgruppe_FV2404,Segment_FV2404,Datenelement_FV2404,Segment ID_FV2404,Code_FV2404,Qualifier_FV2404,Beschreibung_FV2404,Bedingungsausdruck_FV2404,Bedingung_FV2404,Unnamed: 0_FV2404
Nachrichtendatum,,DTM,2380,00003,,,"Datum oder Uhrzeit oder Zeitspanne, Wert",X [931] [494],"[494] Das hier genannte Datum muss der Zeitpunkt sein, zu dem das Dokument erstellt wurde, oder ein Zeitpunkt, der davor liegt.
[931] Format: ZZZ = +00",12,,,Nachrichtendatum,,DTM,2380,00003,,,"Datum oder Uhrzeit oder Zeitspanne, Wert",X [931] [494],"[494] Das hier genannte Datum muss der Zeitpunkt sein, zu dem das Dokument erstellt wurde, oder ein Zeitpunkt, der davor liegt.
[931] Format: ZZZ = +00",12
Nachrichtendatum,,DTM,2379,00003,303,,CCYYMMDDHHMMZZZ,X,,13,,,Nachrichtendatum,,DTM,2379,00003,303,,CCYYMMDDHHMMZZZ,X,,13
Ausführungsdatum,,DTM,,00004,,,,Muss [122],[122] Wenn SG1 RFF+Z41 (Referenznummer des Vorgangs der Anmeldung nach WiM) nicht vorhanden ,14,,,Ausführungsdatum,,DTM,,00004,,,,Muss [122],[122] Wenn SG1 RFF+Z41 (Referenznummer des Vorgangs der Anmeldung nach WiM) nicht vorhanden ,14
Ausführungsdatum,,DTM,2005,00004,203,,Ausführungsdatum/-zeit,X,,15,,,Ausführungsdatum,,DTM,2005,00004,203,,Ausführungsdatum/-zeit,X,,15
Ausführungsdatum,,DTM,2380,00004,,,"Datum oder Uhrzeit oder Zeitspanne, Wert",X [UB1],,16,,,Ausführungsdatum,,DTM,2380,00004,,,"Datum oder Uhrzeit oder Zeitspanne, Wert",X [UB1],,16
Ausführungsdatum,,DTM,2379,00004,303,,CCYYMMDDHHMMZZZ,X,,17,,,Ausführungsdatum,,DTM,2379,00004,303,,CCYYMMDDHHMMZZZ,X,,17
Referenznummer des Vorgangs der Anmeldung nach WiM,SG1,,,,,,,Muss [123],[123] Wenn DTM+203 (Ausführungsdatum) nicht vorhanden ,18,,,Referenznummer des Vorgangs der Anmeldung nach WiM,SG1,,,,,,,Muss [123],[123] Wenn DTM+203 (Ausführungsdatum) nicht vorhanden ,18
Referenznummer des Vorgangs der Anmeldung nach WiM,SG1,RFF,,00016,,,,Muss,,19,,,Referenznummer des Vorgangs der Anmeldung nach WiM,SG1,RFF,,00016,,,,Muss,,19
Referenznummer des Vorgangs der Anmeldung nach WiM,SG1,RFF,1153,00016,Z41,,Referenznummer des Vorgangs der Anmeldung nach WiM,X,,20,,,Referenznummer des Vorgangs der Anmeldung nach WiM,SG1,RFF,1153,00016,Z41,,Referenznummer des Vorgangs der Anmeldung nach WiM,X,,20
Referenznummer des Vorgangs der Anmeldung nach WiM,SG1,RFF,1154,00016,,,"Referenz, Identifikation",X [555],[555] Hinweis: Vorgangsnummer aus SG4 IDE+24 DE7402 der UTILMD mit BGM+E01 mit der die Anmeldung des MSB-Wechsels erfolgt ist.,21,,,Referenznummer des Vorgangs der Anmeldung nach WiM,SG1,RFF,1154,00016,,,"Referenz, Identifikation",X [555],[555] Hinweis: Vorgangsnummer aus SG4 IDE+24 DE7402 der UTILMD mit BGM+E01 mit der die Anmeldung des MSB-Wechsels erfolgt ist.,21
